Species,Year,Period,Count
"Waterbuck",1994,"1994–2002",126
"Waterbuck",2001,"1994–2002",450
"Waterbuck",2002,"1994–2002",800
"Waterbuck",2004,"2004–2012",1800
"Waterbuck",2007,"2004–2012",4200
"Waterbuck",2010,"2004–2012",9800
"Waterbuck",2012,"2004–2012",14000
"Waterbuck",2014,"2014–2018",34482
"Waterbuck",2016,"2014–2018",44948
"Waterbuck",2018,"2014–2018",55351
"Waterbuck",2020,"2019–2024",48515
"Waterbuck",2022,"2019–2024",57284
"Waterbuck",2024,"2019–2024",58772
"Common reedbuck",1994,"1994–2002",200
"Common reedbuck",2001,"1994–2002",350
"Common reedbuck",2002,"1994–2002",500
"Common reedbuck",2004,"2004–2012",1500
"Common reedbuck",2007,"2004–2012",3100
"Common reedbuck",2010,"2004–2012",5800
"Common reedbuck",2012,"2004–2012",8200
"Common reedbuck",2014,"2014–2018",11871
"Common reedbuck",2016,"2014–2018",10451
"Common reedbuck",2018,"2014–2018",10220
"Common reedbuck",2020,"2019–2024",5386
"Common reedbuck",2022,"2019–2024",4145
"Common reedbuck",2024,"2019–2024",3608
"Warthog",1994,"1994–2002",110
"Warthog",2001,"1994–2002",180
"Warthog",2002,"1994–2002",250
"Warthog",2004,"2004–2012",850
"Warthog",2007,"2004–2012",1900
"Warthog",2010,"2004–2012",3400
"Warthog",2012,"2004–2012",4800
"Warthog",2014,"2014–2018",9086
"Warthog",2016,"2014–2018",5383
"Warthog",2018,"2014–2018",10739
"Warthog",2020,"2019–2024",8086
"Warthog",2022,"2019–2024",5123
"Warthog",2024,"2019–2024",4147
"Impala",1994,"1994–2002",90
"Impala",2001,"1994–2002",130
"Impala",2002,"1994–2002",180
"Impala",2004,"2004–2012",450
"Impala",2007,"2004–2012",950
"Impala",2010,"2004–2012",1800
"Impala",2012,"2004–2012",2700
"Impala",2014,"2014–2018",2727
"Impala",2016,"2014–2018",4705
"Impala",2018,"2014–2018",6122
"Impala",2020,"2019–2024",6229
"Impala",2022,"2019–2024",9446
"Impala",2024,"2019–2024",15146
"Oribi",1994,"1994–2002",40
"Oribi",2001,"1994–2002",75
"Oribi",2002,"1994–2002",110
"Oribi",2004,"2004–2012",500
"Oribi",2007,"2004–2012",1200
"Oribi",2010,"2004–2012",2400
"Oribi",2012,"2004–2012",3200
"Oribi",2014,"2014–2018",4485
"Oribi",2016,"2014–2018",3884
"Oribi",2018,"2014–2018",3958
"Oribi",2020,"2019–2024",1853
"Oribi",2022,"2019–2024",1383
"Oribi",2024,"2019–2024",1936
"Nyala",1994,"1994–2002",55
"Nyala",2001,"1994–2002",90
"Nyala",2002,"1994–2002",140
"Nyala",2004,"2004–2012",250
"Nyala",2007,"2004–2012",480
"Nyala",2010,"2004–2012",720
"Nyala",2012,"2004–2012",900
"Nyala",2014,"2014–2018",945
"Nyala",2016,"2014–2018",1299
"Nyala",2018,"2014–2018",1934
"Nyala",2020,"2019–2024",2341
"Nyala",2022,"2019–2024",2730
"Nyala",2024,"2019–2024",3239
"Kudu",1994,"1994–2002",45
"Kudu",2001,"1994–2002",80
"Kudu",2002,"1994–2002",120
"Kudu",2004,"2004–2012",300
"Kudu",2007,"2004–2012",550
"Kudu",2010,"2004–2012",980
"Kudu",2012,"2004–2012",1200
"Kudu",2014,"2014–2018",1200
"Kudu",2016,"2014–2018",1466
"Kudu",2018,"2014–2018",1928
"Kudu",2020,"2019–2024",1831
"Kudu",2022,"2019–2024",2279
"Kudu",2024,"2019–2024",2361
"Bushbuck",1994,"1994–2002",60
"Bushbuck",2001,"1994–2002",110
"Bushbuck",2002,"1994–2002",160
"Bushbuck",2004,"2004–2012",420
"Bushbuck",2007,"2004–2012",810
"Bushbuck",2010,"2004–2012",1450
"Bushbuck",2012,"2004–2012",2100
"Bushbuck",2014,"2014–2018",2277
"Bushbuck",2016,"2014–2018",2022
"Bushbuck",2018,"2014–2018",1665
"Bushbuck",2020,"2019–2024",1592
"Bushbuck",2022,"2019–2024",1550
"Bushbuck",2024,"2019–2024",1425
"Blue wildebeest",1994,"1994–2002",10
"Blue wildebeest",2001,"1994–2002",18
"Blue wildebeest",2002,"1994–2002",25
"Blue wildebeest",2004,"2004–2012",65
"Blue wildebeest",2007,"2004–2012",130
"Blue wildebeest",2010,"2004–2012",220
"Blue wildebeest",2012,"2004–2012",330
"Blue wildebeest",2014,"2014–2018",361
"Blue wildebeest",2016,"2014–2018",363
"Blue wildebeest",2018,"2014–2018",587
"Blue wildebeest",2020,"2019–2024",754
"Blue wildebeest",2022,"2019–2024",1406
"Blue wildebeest",2024,"2019–2024",1456
"Buffalo",1994,"1994–2002",25
"Buffalo",2001,"1994–2002",50
"Buffalo",2002,"1994–2002",80
"Buffalo",2004,"2004–2012",120
"Buffalo",2007,"2004–2012",230
"Buffalo",2010,"2004–2012",410
"Buffalo",2012,"2004–2012",550
"Buffalo",2014,"2014–2018",670
"Buffalo",2016,"2014–2018",696
"Buffalo",2018,"2014–2018",960
"Buffalo",2020,"2019–2024",1212
"Buffalo",2022,"2019–2024",1223
"Buffalo",2024,"2019–2024",1198
"Sable",1994,"1994–2002",30
"Sable",2001,"1994–2002",55
"Sable",2002,"1994–2002",70
"Sable",2004,"2004–2012",220
"Sable",2007,"2004–2012",410
"Sable",2010,"2004–2012",680
"Sable",2012,"2004–2012",750
"Sable",2014,"2014–2018",757
"Sable",2016,"2014–2018",810
"Sable",2018,"2014–2018",805
"Sable",2020,"2019–2024",451
"Sable",2022,"2019–2024",240
"Sable",2024,"2019–2024",104
"Hippo",1994,"1994–2002",50
"Hippo",2001,"1994–2002",95
"Hippo",2002,"1994–2002",140
"Hippo",2004,"2004–2012",180
"Hippo",2007,"2004–2012",260
"Hippo",2010,"2004–2012",350
"Hippo",2012,"2004–2012",410
"Hippo",2014,"2014–2018",436
"Hippo",2016,"2014–2018",440
"Hippo",2018,"2014–2018",546
"Hippo",2020,"2019–2024",744
"Hippo",2022,"2019–2024",938
"Hippo",2024,"2019–2024",1082
"Lichtenstein's hartebeest",1994,"1994–2002",15
"Lichtenstein's hartebeest",2001,"1994–2002",30
"Lichtenstein's hartebeest",2002,"1994–2002",45
"Lichtenstein's hartebeest",2004,"2004–2012",110
"Lichtenstein's hartebeest",2007,"2004–2012",220
"Lichtenstein's hartebeest",2010,"2004–2012",380
"Lichtenstein's hartebeest",2012,"2004–2012",490
"Lichtenstein's hartebeest",2014,"2014–2018",613
"Lichtenstein's hartebeest",2016,"2014–2018",562
"Lichtenstein's hartebeest",2018,"2014–2018",578
"Lichtenstein's hartebeest",2020,"2019–2024",440
"Lichtenstein's hartebeest",2022,"2019–2024",383
"Lichtenstein's hartebeest",2024,"2019–2024",399
"Elephant",1994,"1994–2002",60
"Elephant",2001,"1994–2002",120
"Elephant",2002,"1994–2002",160
"Elephant",2004,"2004–2012",210
"Elephant",2007,"2004–2012",310
"Elephant",2010,"2004–2012",420
"Elephant",2012,"2004–2012",480
"Elephant",2014,"2014–2018",535
"Elephant",2016,"2014–2018",567
"Elephant",2018,"2014–2018",544
"Elephant",2020,"2019–2024",691
"Elephant",2022,"2019–2024",496
"Elephant",2024,"2019–2024",765
"Bushpig",1994,"1994–2002",8
"Bushpig",2001,"1994–2002",15
"Bushpig",2002,"1994–2002",22
"Bushpig",2004,"2004–2012",35
"Bushpig",2007,"2004–2012",60
"Bushpig",2010,"2004–2012",90
"Bushpig",2012,"2004–2012",120
"Bushpig",2014,"2014–2018",167
"Bushpig",2016,"2014–2018",108
"Bushpig",2018,"2014–2018",183
"Bushpig",2020,"2019–2024",226
"Bushpig",2022,"2019–2024",346
"Bushpig",2024,"2019–2024",222
"Eland",1994,"1994–2002",5
"Eland",2001,"1994–2002",12
"Eland",2002,"1994–2002",20
"Eland",2004,"2004–2012",30
"Eland",2007,"2004–2012",48
"Eland",2010,"2004–2012",70
"Eland",2012,"2004–2012",90
"Eland",2014,"2014–2018",105
"Eland",2016,"2014–2018",94
"Eland",2018,"2014–2018",117
"Eland",2020,"2019–2024",27
"Eland",2022,"2019–2024",94
"Eland",2024,"2019–2024",24
"Grey duiker",1994,"1994–2002",12
"Grey duiker",2001,"1994–2002",25
"Grey duiker",2002,"1994–2002",38
"Grey duiker",2004,"2004–2012",42
"Grey duiker",2007,"2004–2012",50
"Grey duiker",2010,"2004–2012",55
"Grey duiker",2012,"2004–2012",60
"Grey duiker",2014,"2014–2018",61
"Grey duiker",2016,"2014–2018",49
"Grey duiker",2018,"2014–2018",42
"Grey duiker",2020,"2019–2024",50
"Grey duiker",2022,"2019–2024",26
"Grey duiker",2024,"2019–2024",11
"Zebra",1994,"1994–2002",2
"Zebra",2001,"1994–2002",5
"Zebra",2002,"1994–2002",10
"Zebra",2004,"2004–2012",15
"Zebra",2007,"2004–2012",22
"Zebra",2010,"2004–2012",28
"Zebra",2012,"2004–2012",30
"Zebra",2014,"2014–2018",33
"Zebra",2016,"2014–2018",34
"Zebra",2018,"2014–2018",33
"Zebra",2020,"2019–2024",33
"Zebra",2022,"2019–2024",20
"Zebra",2024,"2019–2024",47
"Red duiker",1994,"1994–2002",5
"Red duiker",2001,"1994–2002",10
"Red duiker",2002,"1994–2002",15
"Red duiker",2004,"2004–2012",18
"Red duiker",2007,"2004–2012",20
"Red duiker",2010,"2004–2012",22
"Red duiker",2012,"2004–2012",25
"Red duiker",2014,"2014–2018",26
"Red duiker",2016,"2014–2018",21
"Red duiker",2018,"2014–2018",21
"Red duiker",2020,"2019–2024",25
"Red duiker",2022,"2019–2024",15
"Red duiker",2024,"2019–2024",16
"Lichtenstein's hartebeest",1994,"1994–2002",15
"Lichtenstein's hartebeest",2001,"1994–2002",30
"Lichtenstein's hartebeest",2002,"1994–2002",45
"Lichtenstein's hartebeest",2004,"2004–2012",110
"Lichtenstein's hartebeest",2007,"2004–2012",220
"Lichtenstein's hartebeest",2010,"2004–2012",380
"Lichtenstein's hartebeest",2012,"2004–2012",490
"Lichtenstein's hartebeest",2014,"2014–2018",613
"Lichtenstein's hartebeest",2016,"2014–2018",562
"Lichtenstein's hartebeest",2018,"2014–2018",578
"Lichtenstein's hartebeest",2020,"2019–2024",440
"Lichtenstein's hartebeest",2022,"2019–2024",383
"Lichtenstein's hartebeest",2024,"2019–2024",399
