Species,Year,Period,Count
"Waterbuck",1994,"1994–2002",126
"Waterbuck",2001,"1994–2002",450
"Waterbuck",2002,"1994–2002",800
"Waterbuck",2004,"2004–2012",1800
"Waterbuck",2007,"2004–2012",4200
"Waterbuck",2010,"2004–2012",9800
"Waterbuck",2012,"2004–2012",14000
"Waterbuck",2014,"2014–2018",34482
"Waterbuck",2016,"2014–2018",44948
"Waterbuck",2018,"2014–2018",55351
"Waterbuck",2020,"2019–2024",48515
"Waterbuck",2022,"2019–2024",57284
"Waterbuck",2024,"2019–2024",58772
"Impala",1994,"1994–2002",90
"Impala",2001,"1994–2002",130
"Impala",2002,"1994–2002",180
"Impala",2004,"2004–2012",450
"Impala",2007,"2004–2012",950
"Impala",2010,"2004–2012",1800
"Impala",2012,"2004–2012",2700
"Impala",2014,"2014–2018",2727
"Impala",2016,"2014–2018",4705
"Impala",2018,"2014–2018",6122
"Impala",2020,"2019–2024",6229
"Impala",2022,"2019–2024",9446
"Impala",2024,"2019–2024",15146
"Warthog",1994,"1994–2002",110
"Warthog",2001,"1994–2002",180
"Warthog",2002,"1994–2002",250
"Warthog",2004,"2004–2012",850
"Warthog",2007,"2004–2012",1900
"Warthog",2010,"2004–2012",3400
"Warthog",2012,"2004–2012",4800
"Warthog",2014,"2014–2018",9086
"Warthog",2016,"2014–2018",5383
"Warthog",2018,"2014–2018",10739
"Warthog",2020,"2019–2024",8086
"Warthog",2022,"2019–2024",5123
"Warthog",2024,"2019–2024",4147
"Common reedbuck",1994,"1994–2002",200
"Common reedbuck",2001,"1994–2002",350
"Common reedbuck",2002,"1994–2002",500
"Common reedbuck",2004,"2004–2012",1500
"Common reedbuck",2007,"2004–2012",3100
"Common reedbuck",2010,"2004–2012",5800
"Common reedbuck",2012,"2004–2012",8200
"Common reedbuck",2014,"2014–2018",11871
"Common reedbuck",2016,"2014–2018",10451
"Common reedbuck",2018,"2014–2018",10220
"Common reedbuck",2020,"2019–2024",5386
"Common reedbuck",2022,"2019–2024",4145
"Common reedbuck",2024,"2019–2024",3608
"Sable",1994,"1994–2002",30
"Sable",2001,"1994–2002",55
"Sable",2002,"1994–2002",70
"Sable",2004,"2004–2012",220
"Sable",2007,"2004–2012",410
"Sable",2010,"2004–2012",680
"Sable",2012,"2004–2012",750
"Sable",2014,"2014–2018",757
"Sable",2016,"2014–2018",810
"Sable",2018,"2014–2018",805
"Sable",2020,"2019–2024",451
"Sable",2022,"2019–2024",240
"Sable",2024,"2019–2024",104
"Buffalo",1994,"1994–2002",25
"Buffalo",2001,"1994–2002",50
"Buffalo",2002,"1994–2002",80
"Buffalo",2004,"2004–2012",120
"Buffalo",2007,"2004–2012",230
"Buffalo",2010,"2004–2012",410
"Buffalo",2012,"2004–2012",550
"Buffalo",2014,"2014–2018",670
"Buffalo",2016,"2014–2018",696
"Buffalo",2018,"2014–2018",960
"Buffalo",2020,"2019–2024",1212
"Buffalo",2022,"2019–2024",1223
"Buffalo",2024,"2019–2024",1198
"Elephant",1994,"1994–2002",60
"Elephant",2001,"1994–2002",120
"Elephant",2002,"1994–2002",160
"Elephant",2004,"2004–2012",210
"Elephant",2007,"2004–2012",310
"Elephant",2010,"2004–2012",420
"Elephant",2012,"2004–2012",480
"Elephant",2014,"2014–2018",535
"Elephant",2016,"2014–2018",567
"Elephant",2018,"2014–2018",544
"Elephant",2020,"2019–2024",691
"Elephant",2022,"2019–2024",496
"Elephant",2024,"2019–2024",765
