Species,Period,Density_ind_km2
"Waterbuck","1994–2002",0.09
"Waterbuck","2004–2012",3.84
"Waterbuck","2014–2018",24.35
"Waterbuck","2019–2024",29.73
"Impala","1994–2002",0.08
"Impala","2004–2012",0.81
"Impala","2014–2018",2.45
"Impala","2019–2024",5.57
"Warthog","1994–2002",0.11
"Warthog","2004–2012",1.23
"Warthog","2014–2018",4.54
"Warthog","2019–2024",3.14
"Common reedbuck","1994–2002",0.22
"Common reedbuck","2004–2012",1.92
"Common reedbuck","2014–2018",5.88
"Common reedbuck","2019–2024",2.37
"Nyala","1994–2002",0.06
"Nyala","2004–2012",0.31
"Nyala","2014–2018",0.75
"Nyala","2019–2024",1.50
"Kudu","1994–2002",0.05
"Kudu","2004–2012",0.39
"Kudu","2014–2018",0.83
"Kudu","2019–2024",1.17
"Oribi","1994–2002",0.04
"Oribi","2004–2012",0.98
"Oribi","2014–2018",2.22
"Oribi","2019–2024",0.94
"Blue wildebeest","1994–2002",0.01
"Blue wildebeest","2004–2012",0.09
"Blue wildebeest","2014–2018",0.24
"Blue wildebeest","2019–2024",0.65
"Bushbuck","1994–2002",0.07
"Bushbuck","2004–2012",0.51
"Bushbuck","2014–2018",1.08
"Bushbuck","2019–2024",0.83
"Buffalo","1994–2002",0.03
"Buffalo","2004–2012",0.16
"Buffalo","2014–2018",0.42
"Buffalo","2019–2024",0.66
"Hippo","1994–2002",0.06
"Hippo","2004–2012",0.18
"Hippo","2014–2018",0.26
"Hippo","2019–2024",0.50
"Elephant","1994–2002",0.08
"Elephant","2004–2012",0.19
"Elephant","2014–2018",0.30
"Elephant","2019–2024",0.35
"Lichtenstein's hartebeest","1994–2002",0.02
"Lichtenstein's hartebeest","2004–2012",0.15
"Lichtenstein's hartebeest","2014–2018",0.32
"Lichtenstein's hartebeest","2019–2024",0.22
"Sable","1994–2002",0.03
"Sable","2004–2012",0.28
"Sable","2014–2018",0.43
"Sable","2019–2024",0.14
"Bushpig","1994–2002",0.01
"Bushpig","2004–2012",0.04
"Bushpig","2014–2018",0.08
"Bushpig","2019–2024",0.14
"Eland","1994–2002",0.01
"Eland","2004–2012",0.03
"Eland","2014–2018",0.06
"Eland","2019–2024",0.03
"Zebra","1994–2002",0.00
"Zebra","2004–2012",0.01
"Zebra","2014–2018",0.02
"Zebra","2019–2024",0.02
"Grey duiker","1994–2002",0.02
"Grey duiker","2004–2012",0.03
"Grey duiker","2014–2018",0.03
"Grey duiker","2019–2024",0.02
"Red duiker","1994–2002",0.01
"Red duiker","2004–2012",0.01
"Red duiker","2014–2018",0.01
"Red duiker","2019–2024",0.01
